Sample Name,Target Name,CT,Reference_Mean,ΔCt,ΔΔCt,Fold Change
DAY0,SOX2,22.966242,16.764972333333333,6.2012696666666685,0.0,1.0
DAY0,SOX2,22.818962,16.764972333333333,6.053989666666666,-0.14728000000000208,1.1074795045905526
DAY0,SOX2,22.791155,16.764972333333333,6.026182666666667,-0.17508700000000132,1.1290324877079312
DAY0,TBXT,37.43731,16.764972333333333,20.672337666666664,0.0,1.0
DAY0,TBXT,34.00279,16.764972333333333,17.237817666666665,-3.434519999999999,10.811688901745166
DAY0,TBXT,37.30759,16.764972333333333,20.542617666666665,-0.12971999999999895,1.094081340022823
DAY0,HAND1,32.822693,16.764972333333333,16.05772066666667,0.0,1.0
DAY0,HAND1,32.729843,16.764972333333333,15.96487066666667,-0.09284999999999854,1.0664748914575413
DAY0,HAND1,31.788738,16.764972333333333,15.023765666666666,-1.0339550000000024,2.047629930959684
DAY0,PRRX1,31.768803,16.764972333333333,15.003830666666666,0.0,1.0
DAY0,PRRX1,33.076084,16.764972333333333,16.31111166666667,1.3072810000000032,0.40408172197957865
DAY0,PRRX1,32.45987,16.764972333333333,15.69489766666667,0.6910670000000039,0.6193955829597679
DAY0,ACTB,16.841045,16.764972333333333,0.07607266666666845,,
DAY0,ACTB,16.66245,16.764972333333333,-0.10252233333333294,,
DAY0,ACTB,16.791422,16.764972333333333,0.026449666666668037,,
DAY1,SOX2,28.49181,17.155139666666667,11.336670333333334,5.135400666666666,0.02845052989369931
DAY1,SOX2,28.3144,17.155139666666667,11.159260333333332,4.957990666666664,0.032173335747970856
DAY1,SOX2,28.459536,17.155139666666667,11.304396333333333,5.103126666666665,0.02909415857991499
DAY1,TBXT,20.609346,17.155139666666667,3.4542063333333317,-17.218131333333332,152466.34897344586
DAY1,TBXT,20.417328,17.155139666666667,3.2621883333333344,-17.41014933333333,174171.53458410615
DAY1,TBXT,20.345217,17.155139666666667,3.1900773333333348,-17.48226033333333,183098.48562321553
DAY1,HAND1,25.415026,17.155139666666667,8.259886333333334,-7.797834333333334,222.52665287255957
DAY1,HAND1,25.357729,17.155139666666667,8.202589333333332,-7.855131333333336,231.54219775349594
DAY1,HAND1,25.498245,17.155139666666667,8.343105333333334,-7.7146153333333345,210.05383760426326
DAY1,PRRX1,29.016031,17.155139666666667,11.860891333333335,-3.142939333333331,8.833219324416566
DAY1,PRRX1,29.076717,17.155139666666667,11.921577333333332,-3.082253333333334,8.469362225453583
DAY1,PRRX1,29.194328,17.155139666666667,12.039188333333332,-2.964642333333334,7.8063185378246684
DAY1,ACTB,17.019968,17.155139666666667,-0.13517166666666824,,
DAY1,ACTB,17.464006,17.155139666666667,0.30886633333333435,,
DAY1,ACTB,16.981445,17.155139666666667,-0.1736946666666661,,
DAY2,SOX2,27.325596,17.281649666666667,10.043946333333334,3.842676666666666,0.06970100814196911
DAY2,SOX2,27.949911,17.281649666666667,10.668261333333334,4.466991666666665,0.045216976366197
DAY2,SOX2,27.416708,17.281649666666667,10.135058333333333,3.933788666666665,0.06543522720746764
DAY2,TBXT,31.155603,17.281649666666667,13.873953333333333,-6.798384333333331,111.30575154620865
DAY2,TBXT,30.762405,17.281649666666667,13.480755333333335,-7.191582333333329,146.1779942871112
DAY2,TBXT,31.219765,17.281649666666667,13.938115333333332,-6.7342223333333315,106.46403447067982
DAY2,HAND1,19.593298,17.281649666666667,2.311648333333334,-13.746072333333334,13739.789997338916
DAY2,HAND1,19.594147,17.281649666666667,2.312497333333333,-13.745223333333335,13731.70675749588
DAY2,HAND1,19.709171,17.281649666666667,2.4275213333333348,-13.630199333333334,12679.404185602212
DAY2,PRRX1,24.35923,17.281649666666667,7.077580333333334,-7.926250333333332,243.24230123408742
DAY2,PRRX1,24.324396,17.281649666666667,7.0427463333333336,-7.961084333333332,249.18688568090099
DAY2,PRRX1,24.599781,17.281649666666667,7.3181313333333335,-7.685699333333332,205.88563063700616
DAY2,ACTB,17.619474,17.281649666666667,0.3378243333333337,,
DAY2,ACTB,16.923374,17.281649666666667,-0.35827566666666755,,
DAY2,ACTB,17.302101,17.281649666666667,0.02045133333333382,,
DAY4,SOX2,27.021505,16.780226666666668,10.241278333333334,4.040008666666665,0.060790569026471133
DAY4,SOX2,26.983868,16.780226666666668,10.203641333333334,4.002371666666665,0.06239733977646046
DAY4,SOX2,27.4293,16.780226666666668,10.649073333333334,4.447803666666665,0.04582238410973255
DAY4,TBXT,24.97637,16.780226666666668,8.196143333333332,-12.476194333333332,5697.820009918068
DAY4,TBXT,24.869137,16.780226666666668,8.088910333333331,-12.583427333333333,6137.4656655595845
DAY4,TBXT,24.900682,16.780226666666668,8.120455333333332,-12.551882333333332,6004.724470235709
DAY4,HAND1,22.782532,16.780226666666668,6.002305333333332,-10.055415333333336,1064.0980178086659
DAY4,HAND1,22.727695,16.780226666666668,5.947468333333333,-10.110252333333335,1105.323022845942
DAY4,HAND1,22.664461,16.780226666666668,5.884234333333332,-10.173486333333337,1154.8472561061865
DAY4,PRRX1,21.713675,16.780226666666668,4.933448333333331,-10.070382333333335,1075.194787165419
DAY4,PRRX1,21.738941,16.780226666666668,4.958714333333333,-10.045116333333333,1056.5287665523326
DAY4,PRRX1,21.829443,16.780226666666668,5.049216333333334,-9.954614333333332,992.2874750614752
DAY4,ACTB,16.252705,16.780226666666668,-0.5275216666666687,,
DAY4,ACTB,17.053675,16.780226666666668,0.27344833333333085,,
DAY4,ACTB,17.0343,16.780226666666668,0.25407333333333426,,
